,brand,processor_brand,processor_name,ram,ram_type,ssd,clock,gpu,gpu_memory,price
192,5,0,6,16,0,0.512,4.0,1,0,41990
193,0,1,0,8,0,0.512,4.1,7,0,29990
194,5,1,0,8,0,0.512,4.1,8,0,34990
196,2,1,0,8,0,0.512,3.4,7,0,33990
197,2,1,1,16,0,0.512,4.4,7,0,67480
198,0,0,7,8,3,0.512,2.8,1,0,44990
199,4,0,6,8,0,0.512,4.3,3,0,50990
200,2,1,1,8,0,0.512,4.6,7,0,61990
202,6,1,1,16,0,0.512,4.6,5,0,53990
203,2,1,1,16,0,0.512,4.5,6,0,68900
204,2,1,1,8,0,0.512,4.2,4,0,49990
205,2,1,1,8,1,0.512,4.5,13,4,63990
206,2,1,1,8,0,0.512,2.4,8,0,45990
207,6,1,2,16,0,0.512,5.0,5,0,65990
208,6,1,2,16,0,0.512,5.0,5,0,64990
209,2,0,8,16,1,0.512,3.2,15,6,106490
210,6,1,1,16,0,0.512,4.6,5,0,54990
211,6,1,2,8,0,0.512,5.0,5,0,64990
212,2,0,8,16,1,1.0,3.2,17,8,99990
213,2,1,2,16,1,0.512,3.5,11,2,95990
214,6,1,2,8,0,0.512,3.5,5,0,60990
215,6,1,1,8,0,0.512,4.6,5,0,51990
216,2,1,2,16,0,0.512,2.3,14,4,82490
217,2,1,0,8,0,0.512,3.0,4,0,38990
218,6,1,2,16,0,0.512,3.5,5,0,49990
219,6,1,1,8,0,0.512,4.6,5,0,53990
220,2,0,6,8,0,0.512,4.0,1,0,35490
222,2,0,8,16,0,0.512,3.2,15,6,86490
224,6,1,2,16,0,0.256,4.6,13,4,63990
225,5,1,1,16,0,0.512,3.3,13,4,65990
228,6,1,2,8,0,0.512,2.3,13,4,68590
229,1,1,2,16,1,0.512,5.0,18,6,104990
230,2,1,1,8,0,0.512,4.2,7,0,47990
231,2,1,1,8,3,0.512,4.6,4,0,78990
232,2,1,1,8,0,0.256,4.4,7,0,53990
233,6,1,2,16,1,1.0,4.7,18,6,92990
234,6,1,2,16,1,0.512,3.6,12,4,94990
235,2,1,1,8,0,0.512,4.4,7,0,54490
236,2,1,1,8,1,0.512,3.3,8,0,72890
237,6,1,1,8,0,0.512,4.4,9,4,47990
238,6,1,1,16,0,0.512,3.3,12,4,59990
239,2,1,1,16,0,1.0,4.6,7,0,71990
240,2,1,1,16,2,0.512,2.4,5,0,91490
241,2,0,6,16,0,0.512,3.3,13,4,86500
242,1,1,1,8,0,0.512,3.3,9,4,47990
243,6,1,1,16,0,0.256,3.3,18,6,74990
244,2,1,1,8,3,0.512,4.6,4,0,74990
245,2,0,8,16,0,0.512,4.3,1,0,89976
246,0,1,1,16,0,0.512,4.5,13,4,61990
247,6,1,2,16,1,1.0,3.2,19,8,97990
249,2,0,4,8,0,0.256,2.6,1,0,40149
251,2,0,8,16,0,0.512,3.2,13,4,86500
252,5,1,2,16,1,0.512,4.9,19,8,111990
253,6,1,1,16,0,0.512,4.5,9,4,53990
254,2,0,5,8,0,0.512,2.7,1,0,42400
256,6,1,2,16,1,1.0,4.9,18,6,101990
257,1,1,1,16,0,0.512,4.4,9,4,61500
258,2,1,1,16,2,0.512,4.2,5,0,91990
260,2,0,5,8,0,0.256,4.1,1,0,31990
261,6,1,2,16,1,1.0,3.6,19,8,113990
262,5,1,1,16,0,0.512,4.4,13,4,67990
263,2,1,0,8,0,0.256,4.1,7,0,39989
264,2,1,1,8,0,0.512,4.4,5,0,56000
265,2,1,1,8,0,0.512,3.6,7,0,46999
266,2,1,0,8,0,0.512,3.4,7,0,33990
267,2,0,4,8,0,0.256,2.6,1,0,31490
268,2,0,8,16,0,0.512,4.5,3,0,70490
269,2,1,0,8,0,0.512,4.1,7,0,38990
270,2,1,0,4,0,0.256,4.1,7,0,41990
271,2,1,0,8,0,0.256,4.1,7,0,42690
273,2,1,1,16,1,0.512,4.6,13,6,95990
274,2,1,2,16,1,0.512,3.4,7,0,113104
276,2,0,6,8,0,0.512,4.0,1,0,40990
277,2,1,0,8,0,0.256,4.1,7,0,34999
279,2,1,1,8,0,0.512,2.4,7,2,64999
280,2,0,8,16,1,0.512,3.2,13,4,92990
281,2,0,4,8,0,0.512,3.5,3,0,33490
282,2,0,8,16,0,0.512,4.5,1,0,99500
284,2,0,5,8,0,0.256,2.7,1,0,41568
285,2,1,1,8,0,0.512,4.2,5,0,78450
286,2,1,1,8,0,0.256,4.2,8,2,62200
287,2,1,1,16,0,0.512,4.2,10,2,89290
288,2,1,1,4,0,0.256,4.2,5,0,49500
289,2,1,1,8,0,0.512,4.2,7,0,103000
290,2,1,1,8,0,0.512,3.6,7,0,62990
291,2,0,4,8,0,0.256,3.5,0,0,37449
293,2,1,1,8,0,0.256,3.6,7,0,53999
295,2,1,2,16,0,0.512,5.0,5,0,105500
296,2,1,0,8,0,0.256,4.1,8,0,44900
297,2,1,1,16,0,0.512,4.4,11,2,81990
299,2,1,0,8,0,0.256,4.1,8,0,37990
300,2,1,1,8,0,0.512,4.2,7,0,50345
301,2,1,1,8,2,0.512,3.6,7,0,103490
302,2,1,1,16,0,0.512,4.5,6,0,82000
303,2,1,1,16,0,0.512,4.4,7,0,74990
304,2,1,0,8,0,0.256,4.1,7,0,45590
305,2,1,1,16,0,0.512,2.6,5,0,53990
306,2,1,1,8,0,0.512,4.4,11,2,71990
307,2,1,1,8,0,0.256,2.4,7,0,54046
308,2,1,1,16,0,0.512,2.7,14,4,74990
309,2,1,1,8,0,0.512,2.4,7,0,54969
310,2,1,0,8,0,0.256,4.1,7,0,42990
311,2,0,8,16,0,0.512,3.2,13,4,98500
312,2,1,2,16,1,0.512,4.7,14,4,138990
313,2,1,1,8,0,0.512,2.4,7,0,52500
314,2,1,1,8,2,0.512,4.2,5,0,105000
315,2,0,6,8,0,0.512,4.3,1,0,55490
316,2,0,6,8,0,0.512,4.3,2,0,71990
318,2,1,0,4,0,0.512,4.1,7,0,64500
319,2,1,1,8,1,0.512,3.3,11,2,83990
322,2,0,6,16,0,0.512,4.3,1,0,73990
323,2,1,1,8,0,0.512,4.5,6,0,77878
325,2,1,0,8,0,0.256,4.1,7,0,45000
326,2,1,1,8,0,0.512,4.4,7,0,73990
327,2,1,2,16,0,0.512,5.0,5,0,104500
328,2,1,1,16,0,0.512,4.2,10,2,59899
329,2,1,0,4,0,0.256,4.1,7,0,39500
331,2,1,2,16,0,0.512,4.8,5,0,104462
332,2,1,1,8,0,0.512,4.5,6,0,77500
333,2,1,1,16,0,0.512,4.5,5,0,79999
334,2,1,0,8,0,0.256,3.4,7,0,38400
